destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label,is_intrusion
443,272684,10,5,1182,1167,933,0,118.2,290.2871375418,1029,0,233.4,448.7502646239,8614.3668128677,55.0087280515,19477.4285714286,20527.4803269039,53757,4,272684,30298.2222222222,24328.6934800134,65764,4,182137,45534.25,33090.0870390212,79872,598,0,332,168,36.6724853677,18.3362426838,0,1029,146.8125,329.7609677226,108742.295833333,0,0,0,1,0,0,0,0,156.6,118.2,233.4,332,10,1182,5,1167,65535,362,5,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,31105,1,1,48,128,48,48,48.0,0.0,128,128,128.0,0.0,5658.2542999518,64.2983443176,31105.0,0.0,31105,31105,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,32.1491721588,32.1491721588,48,128,74.6666666667,46.1880215352,2133.3333333333,0,0,0,0,0,0,0,1,112.0,48.0,128.0,32,1,48,1,128,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,131,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,1312977.09923664,30534.3511450382,43.6666666667,69.5725041474,124,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,40,40,15267.1755725191,15267.1755725191,35,51,41.4,8.7635609201,76.8,0,0,0,0,0,0,0,1,51.75,35.0,51.0,40,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,57192,3,2,18,0,6,6,6.0,0.0,0,0,0.0,0.0,314.7293327738,87.4248146594,14298.0,28492.7203100488,57037,3,155,77.5,105.3589103968,152,3,57060,57060.0,0.0,57060,57060,0,60,64,52.4548887956,34.9699258638,0,6,4.0,3.098386677,9.6,1,0,0,0,0,0,0,0,4.8,6.0,0.0,60,3,18,2,0,0,61,2,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,60832419,16,12,930,3396,600,0,58.125,155.6568340935,1627,0,283.0,591.1043593447,71.1133976112,0.4602808907,2253052.55555556,4231005.47614472,10161407,31,60832419,4055494.6,5099550.99950144,10243985,83,60749545,5522685.90909091,5247321.01458547,10244016,275,0,520,392,0.2630176518,0.1972632389,0,1627,149.1724137931,404.2933931976,163453.147783251,0,0,0,1,0,0,0,0,154.5,58.125,283.0,520,16,930,12,3396,29200,123,3,32,120385.166666667,92451.0895758761,309100,82549,10018324.5,219516.812293501,10161407,9592645,benign,0
53,379359,2,2,66,170,33,33,33.0,0.0,85,85,85.0,0.0,622.1020194591,10.5441020247,126453.0,218977.988553644,379307,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,40,40,5.2720510124,5.2720510124,33,85,53.8,28.4815729903,811.2,0,0,0,0,0,0,0,1,67.25,33.0,85.0,40,2,66,2,170,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
443,19384,3,1,18,0,6,6,6.0,0.0,0,0,0.0,0.0,928.6009079653,206.3557573256,6461.3333333333,11083.1139276529,19259,48,19384,9692.0,13638.6755955261,19336,48,0,0.0,0.0,0,0,0,60,44,154.7668179942,51.5889393314,0,6,4.8,2.683281573,7.2,1,0,0,0,0,0,0,0,6.0,6.0,0.0,60,3,18,1,0,0,31,2,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,30513,1,1,49,81,49,49,49.0,0.0,81,81,81.0,0.0,4260.4791400387,65.5458329237,30513.0,0.0,30513,30513,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,44,32.7729164618,32.7729164618,49,81,59.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,1,89.5,49.0,81.0,20,1,49,1,81,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,36007,2,2,60,188,30,30,30.0,0.0,94,94,94.0,0.0,6887.549643125,111.089510373,12002.3333333333,20638.1296229415,35833,4,170,170.0,0.0,170,170,4,4.0,0.0,4,4,0,64,40,55.5447551865,55.5447551865,30,94,55.6,35.0542436803,1228.8,0,0,0,0,0,0,0,1,69.5,30.0,94.0,64,2,60,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,31417,2,2,56,568,28,28,28.0,0.0,284,284,284.0,0.0,19861.8582296209,127.319604036,10472.3333333333,18093.5934610385,31365,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,64,40,63.659802018,63.659802018,28,284,130.4,140.2169747213,19660.8,0,0,0,0,0,0,0,1,163.0,28.0,284.0,64,2,56,2,568,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
53,47935,4,2,188,350,47,47,47.0,0.0,175,175,175.0,0.0,11223.5318660686,125.1695003651,9587.0,14684.7895796978,33284,4,33292,11097.3333333333,19214.2169586307,33284,4,4,4.0,0.0,4,4,0,80,40,83.4463335767,41.7231667884,47,175,83.5714285714,62.4576046687,3900.9523809524,0,0,0,0,0,0,0,0,97.5,47.0,175.0,80,4,188,2,350,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,302024,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,99.32985458,16.55497576,75506.0,149676.7386,300020,3,302024,75506.0,149676.7386,300020,3,0,0.0,0.0,0,0,0,100,0,16.55497576,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
80,6977640,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.439558361,0.573259727,2325880.0,4027903.206,6976902,323,6977640,2325880.0,4027903.206,6976902,323,0,0.0,0.0,0,0,0,80,0,0.573259727,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.5,6.0,0.0,80,4,24,0,0,256,-1,3,20,738.0,0.0,738,738,6976902.0,0.0,6976902,6976902,ddos,1
80,83584180,7,6,381,11595,375,0,54.42857143,141.3763973,4344,0,1932.5,1754.831473,143.2807022,0.155531824,6965348.333,24100000.0,83400000,2,83400000,13900000.0,34100000.0,83400000,2,149554,29910.8,59140.24488,135143,33,0,220,200,0.083747905,0.071783919,0,4344,855.4285714,1459.730044,2130811.802,0,0,0,0,1,0,0,0,921.2307692,54.42857143,1932.5,220,7,381,6,11595,251,235,2,20,974.0,0.0,974,974,83400000.0,0.0,83400000,83400000,dos,1
53,114185,4,4,108,380,27,27,27.0,0.0,95,95,95.0,0.0,4273.7662565136,70.0617419101,16312.1428571429,31483.1934182275,82650,1,113988,37996.0,65767.7055932469,113938,1,82852,27617.3333333333,47827.6962996686,82844,4,0,80,80,35.030870955,35.030870955,27,95,57.2222222222,35.8391468152,1284.4444444445,0,0,0,0,0,0,0,1,64.375,27.0,95.0,80,4,108,4,380,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
3809,49,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,122448.9796,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,40,20,20408.16327,20408.16327,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,1,3.0,0.0,6.0,40,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,portscan,1
80,11812670,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.53964599,0.423274332,2953167.5,5903671.131,11800000,1,11800000,2953167.5,5903671.131,11800000,1,0,0.0,0.0,0,0,0,100,0,0.423274332,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.2,6.0,0.0,100,5,30,0,0,256,-1,4,20,3996.0,0.0,3996,3996,11800000.0,0.0,11800000,11800000,ddos,1
465,105,3,0,49,0,37,6,16.3333333333,17.8978583449,0,0,0.0,0.0,466666.666666667,28571.4285714286,52.5,6.3639610307,57,48,105,52.5,6.3639610307,57,48,0,0.0,0.0,0,0,0,60,0,28571.4285714286,0.0,6,37,13.75,15.5,240.25,0,0,0,0,1,0,0,0,18.3333333333,16.3333333333,0.0,60,3,49,0,0,16500,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,benign,0
80,1038990,6,0,36,0,6,6,6.0,0.0,0,0,0.0,0.0,34.64903416,5.774839026,207798.0,462405.4135,1034973,4,1038990,207798.0,462405.4135,1034973,4,0,0.0,0.0,0,0,0,120,0,5.774839026,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.0,6.0,0.0,120,6,36,0,0,256,-1,5,20,0.0,0.0,0,0,0.0,0.0,0,0,ddos,1
